"","Species","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","Lepomis gibbosus","(Intercept)",-11.8532203357579,0.0285058887849048,-415.816550229255,0,-11.909146839791,-11.7972938317249
"2","Lepomis gibbosus","log(Total.Length)",3.20737630266357,0.0064009883061644,501.07516984131,0,3.19481802388049,3.21993458144664
"3","Lepomis gibbosus","Year2024",0.027581712153281,0.00902471940933337,3.05624041061664,0.00229045921551681,0.00987586160949822,0.0452875626970638
"4","Lepomis gibbosus","CellWest cell",0.00170510298348498,0.00738649112975322,0.230840727150775,0.817477596554808,-0.0127866614752671,0.0161968674422371
"5","Lepomis gibbosus","Year2024:CellWest cell",-0.0160626860827484,0.012767087855256,-1.2581323372139,0.208586823727714,-0.0411107944162577,0.00898542225076087
"6","Lepomis macrochirus","(Intercept)",-11.859831759487,0.0462397587391328,-256.48558908786,0,-11.9506777483037,-11.7689857706703
"7","Lepomis macrochirus","log(Total.Length)",3.19906652564196,0.0112325229948354,284.803915123331,0,3.17699829505,3.22113475623393
"8","Lepomis macrochirus","Year2024",0.0548951969149338,0.020896555812891,2.62699735815168,0.00887598811468056,0.0138403054654515,0.0959500883644161
"9","Lepomis macrochirus","CellWest cell",0.019436381419366,0.0184411801018119,1.05396624901767,0.29240237221272,-0.0167945005527333,0.0556672633914652
"10","Lepomis macrochirus","Year2024:CellWest cell",-0.0262605843110325,0.0264611619409421,-0.992419923571107,0.32146799400232,-0.0782481051656596,0.0257269365435946
"11","Micropterus nigricans","(Intercept)",-11.3164160828595,0.0763902482288108,-148.139538033226,2.24633803818065e-255,-11.4668303893847,-11.1660017763343
"12","Micropterus nigricans","log(Total.Length)",3.02234700291214,0.0170425426702702,177.341319390355,1.01138844253045e-275,2.98878981077557,3.05590419504871
"13","Micropterus nigricans","Year2024",-0.0877145609648891,0.0153883452810642,-5.70006452044095,3.20788004489046e-08,-0.118014597130351,-0.057414524799427
"14","Micropterus nigricans","CellWest cell",-0.0471444046523949,0.0259710298357398,-1.81526897279666,0.0706214943877372,-0.0982820109969536,0.00399320169216383
"15","Micropterus nigricans","Year2024:CellWest cell",0.0475063314165409,0.0352597555371512,1.34732446929435,0.179035370074928,-0.0219210078098341,0.116933670642916
"16","Pomoxis nigromaculatus","(Intercept)",-12.2357359760477,0.0854371435462527,-143.213308265903,1.80996469554015e-221,-12.4041034485653,-12.06736850353
"17","Pomoxis nigromaculatus","log(Total.Length)",3.22377096614094,0.0178635418076514,180.466505514608,1.14256553244116e-243,3.18856801740543,3.25897391487646
"18","Pomoxis nigromaculatus","Year2024",0.0222872504993959,0.0232134372377966,0.960101266826066,0.33804407575475,-0.0234585176050677,0.0680330186038595
"19","Pomoxis nigromaculatus","CellWest cell",-0.0463496155784796,0.0253650404938383,-1.82730303898939,0.0689907190645417,-0.0963354599196254,0.00363622876266618
"20","Pomoxis nigromaculatus","Year2024:CellWest cell",0.0265563745690896,0.0455689235947047,0.582773795696494,0.560634407229301,-0.0632444330484578,0.116357182186637
"21","Amia ocellicauda","(Intercept)",-11.34015655154,0.356757502485425,-31.7867360112583,3.3041406773033e-76,-12.0440690991641,-10.6362440039159
"22","Amia ocellicauda","log(Total.Length)",2.94824957054814,0.0581313825193239,50.717004185615,2.58634330794252e-109,2.83355146530574,3.06294767579054
"23","Amia ocellicauda","Year2024",-0.0387082223887649,0.0239850776114152,-1.61384603443362,0.1082932797999,-0.086032797117514,0.00861635233998416
"24","Amia ocellicauda","CellWest cell",-0.00913455746473835,0.0227856864272448,-0.400890159438697,0.688971233992843,-0.0540926325455039,0.0358235176160272
"25","Amia ocellicauda","Year2024:CellWest cell",0.0314810397599428,0.0318307501577864,0.989013441527138,0.323969594568402,-0.0313237065460427,0.0942857860659283
"26","Notemigonus crysoleucas","(Intercept)",-12.4536124942966,0.0918611686955811,-135.569933097266,0,-12.6339039240395,-12.2733210645537
"27","Notemigonus crysoleucas","log(Total.Length)",3.1456115562122,0.0227176382977859,138.465606106546,0,3.1010247569449,3.1901983554795
"28","Notemigonus crysoleucas","Year2024",0.0428929782423112,0.0127378930965577,3.36735266320477,0.000791699274289305,0.0178929375188917,0.0678930189657308
"29","Notemigonus crysoleucas","CellWest cell",0.0156615111270368,0.0154728993353745,1.01218981572711,0.31172426422019,-0.0147063927768097,0.0460294150308833
"30","Notemigonus crysoleucas","Year2024:CellWest cell",-0.0297094378810956,0.0249803482345435,-1.18931239877643,0.234636106934768,-0.0787371474414432,0.0193182716792521
